filename	text
img_0000_frag_0001.png	Изподвыпердова
img_0000_frag_0002.png	Я
img_0000_frag_0003.png	хочу
img_0000_frag_0004.png	спать
img_0000_frag_0006.png	фамилия
img_0000_frag_0007.png	что
img_0000_frag_0008.png	мне
img_0000_frag_0009.png	делать
img_0000_frag_0010.png	Вы
img_0000_frag_0011.png	думали
img_0000_frag_0012.png	это
img_0000_frag_0015.png	обычный
img_0000_frag_0016.png	носок
img_0000_frag_0017.png	?
img_0000_frag_0018.png	Нет
img_0000_frag_0019.png	,
img_0000_frag_0020.png	это
img_0000_frag_0021.png	древняя
img_0000_frag_0023.png	со
img_0000_frag_0024.png	времён
img_0000_frag_0025.png	битвы
img_0000_frag_0026.png	за
img_0000_frag_0027.png	Константинополь
img_0000_frag_0028.png	или
img_0000_frag_0029.png	же
img_0000_frag_0030.png	Стамбул
img_0000_frag_0031.png	Этот
img_0000_frag_0032.png	носок
img_0000_frag_0033.png	принадлежал
img_0000_frag_0034.png	самому
img_0000_frag_0035.png	Александру
img_0000_frag_0036.png	но
img_0000_frag_0037.png	он
img_0000_frag_0038.png	потерял
img_0000_frag_0039.png	его,
img_0000_frag_0040.png	когда
img_0000_frag_0041.png	отступал
img_0000_frag_0043.png	ведь
img_0000_frag_0044.png	времени
img_0000_frag_0046.png	на
img_0000_frag_0047.png	сборы
img_0000_frag_0048.png	не
